pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall,scenario_label,config_label
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s2.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s2,2,2.975002723000216,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.62375,800,650,499,499,1.0,0.0,2,0.8907692307692308,0.8907692307692308,1.0,1.0,0.0,8,0.3215384615384615,0.5821727019498607,0.5523076923076923,dropout,default
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s3.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s3,3,2.821640876998572,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.565,800,660,452,452,0.9982668977469672,0.0034904013961605,4,0.8727272727272727,0.8742424242424243,1.0,0.9296875,0.008130081300813,5,0.1803030303030303,0.3962848297213622,0.4893939393939394,dropout,default
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s4.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s4,4,3.0797112090003798,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.615,800,629,492,492,1.0,0.0,4,0.8473767885532592,0.8473767885532592,1.0,0.975,0.0193548387096774,5,0.2480127186009539,0.4790419161676646,0.5310015898251192,dropout,default
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s0,0,2.9427719759987667,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.62,800,638,496,496,1.0,0.0,3,0.9231974921630094,0.9231974921630094,1.0,1.0,0.0,4,0.3573667711598746,0.6422535211267606,0.5564263322884012,dropout,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s1.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s1,1,2.902676480998707,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.62125,800,642,497,497,1.0,0.0,3,0.97196261682243,0.97196261682243,1.0,1.0,0.0,5,0.2647975077881619,0.4899135446685879,0.5404984423676013,dropout,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s2.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s2,2,2.9551785929998005,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.6375,800,650,510,510,0.9984202211690364,0.0031695721077654,2,0.9723076923076924,0.9738461538461538,1.0,1.0,0.0,5,0.34,0.5989159891598916,0.5676923076923077,dropout,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s3.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s3,3,2.888092035000227,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.56875,800,660,455,455,1.0,0.0,2,0.9651515151515152,0.9651515151515152,1.0,1.0,0.0,4,0.2136363636363636,0.4325153374233129,0.4939393939393939,dropout,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s4.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s4,4,3.007017380001344,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.63125,800,629,505,505,1.0,0.0,3,0.9364069952305246,0.9364069952305246,1.0,0.9776536312849162,0.0227272727272727,3,0.2782193958664546,0.515850144092219,0.5516693163751988,dropout,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__balanced_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__balanced_s0,0,4.1549801339988335,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000.0,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.5675,1200,964,681,681,0.9977011494252872,0.0046242774566473,5,0.9004149377593361,0.9024896265560166,1.0,1.0,0.0,5,0.3008298755186722,0.6131078224101479,0.4906639004149377,hard,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__balanced_s1.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__balanced_s1,1,4.295236538999234,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000.0,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.5891666666666666,1200,965,707,707,0.9977477477477478,0.0045351473922902,6,0.9181347150259068,0.9202072538860104,1.0,1.0,0.0,9,0.3419689119170984,0.6586826347305389,0.5191709844559586,hard,balanced
